postcodeDistrict,catsPerHousehold,dogsPerHousehold,pre_1900,1900_1929,1930_1945,1945_1964,1965_1982,1983_1999,2000_present,unknown
AB10,0.164463242,0.188609903,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB11,0.206144554,0.236410908,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB12,0.300305714,0.344396907,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB13,1.145815261,1.314045031,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB14,1.008731754,1.156834783,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB15,0.531662339,0.609721547,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB16,0.41826069,0.479670152,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB21,0.508543723,0.583208632,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB22,0.271464033,0.31132066,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB23,0.225437944,0.258536974,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB24,0.108360603,0.124270218,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB25,0.103616651,0.118829753,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB30,1.330842308,1.526237938,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB31,0.600470433,0.688632116,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB32,0.164172192,0.188276121,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB33,0.789062664,0.904913652,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB34,0.841308532,0.964830311,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB35,0.446560902,0.512125431,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB36,0.615475983,0.705840797,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB37,1.050657781,1.204916431,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB38,1.144688694,1.312753059,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB39,0.643130631,0.737555728,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB41,0.813079352,0.932456494,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB42,0.627777558,0.719948501,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB43,0.832829334,0.955106189,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB44,1.252946493,1.436905379,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB45,0.5617469,0.644223155,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB51,0.822505715,0.943266846,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB52,1.916481858,2.197861686,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB53,1.625249084,1.863869817,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB54,0.493080865,0.565475502,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB55,0.946611635,1.085594124,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AB56,0.120153073,0.13779407,0.20224902268677217,0.08133816650201105,0.07293260880352417,0.16328595547722832,0.20308674887676573,0.142598511639583,0.11929560641625485,0.01521337959786059
AL1,0.159562031,0.182989091,0.1230316564424501,0.2021260418795672,0.1793716014071162,0.1306206841304222,0.1108811525968602,0.1371163750426603,0.102816489332718,0.0140359991682055
AL10,0.290958154,0.333676928,0.0057992972828697,0.0624802859293973,0.0622174868608522,0.3420694210073244,0.2624899124433798,0.0892141541721189,0.1689853040387366,0.0067441382653208
AL2,0.752996867,0.863552638,0.0432895764624388,0.0932858443511983,0.1491786625787361,0.2426920343198159,0.204652455664371,0.1239710744873999,0.1222962409247071,0.0206341112113326
AL3,0.338097727,0.387737581,0.1848081161720449,0.1216374477051378,0.1225835646519421,0.1851066413187568,0.1709312582701692,0.099354325407689,0.0944182490072404,0.0211603974670193
AL4,0.277482578,0.318222854,0.0611886538990236,0.0860383991064482,0.1390802878859682,0.2461215281353655,0.2025345214761541,0.15814337870984,0.0834833923726131,0.0234098384145869
AL5,0.362910869,0.416193815,0.0632276563496773,0.1441325538405206,0.1081550541305021,0.1946677116977607,0.2784056285359253,0.106015303722946,0.0843513590412059,0.0210447326814619
AL6,0.87395077,1.002265117,0.0927507651353133,0.0897887648258184,0.0854063806084483,0.2190214846206812,0.2107638816484875,0.1707011695129738,0.1147168171792329,0.0168507364690444
AL7,0.30642059,0.351409575,0.0014149875583395,0.0089666873860403,0.0643315624352273,0.2608678787153814,0.1948522671658345,0.2882066087859022,0.1740033719143009,0.0073566360389737
AL8,0.465872942,0.534272884,0.0135915289633691,0.1459653278936681,0.1669254798154622,0.3010570914525365,0.0953653965910917,0.1773875556722238,0.0941625395718267,0.0055450800398215
AL9,1.261791382,1.447048884,0.1172965568367622,0.0722100655882039,0.1121516916752165,0.2607767183816156,0.2127438076473277,0.1074786356316425,0.0878674922933268,0.0294750319459046
B1,0.070297232,0.080618344,0.0288713587022272,0.0228222511492696,0.0002038587239474,0.0031318561700399,0.2237549724596537,0.0856228837347401,0.6198542372242336,0.0157385818358881
B10,0.076656292,0.087911047,0.3841498619507686,0.2986953593907108,0.0254073465344508,0.0275128867173117,0.1244425070475488,0.1137115133959804,0.0117592636607308,0.0143212613024977
B11,0.107417123,0.123188215,0.426824288702764,0.3011059996054683,0.0347338466080135,0.0388083204433036,0.082822638764038,0.0653154352953567,0.0256576062656513,0.0247318643154042
B12,0.085244762,0.097760486,0.3592315391798488,0.1082451933212762,0.0083033108691746,0.0848712034447108,0.1967511330464339,0.1105630752982868,0.0872733834150519,0.0447611614252167
B13,0.104947225,0.120355684,0.1782608219611723,0.2769379514716885,0.1471506513050829,0.0846734987915114,0.1466080116280625,0.070230921618981,0.0670164309680328,0.0291217122554682
B14,0.153964707,0.176569962,0.1160538063149461,0.2146031682240333,0.1955314191099114,0.1128746855248166,0.2291908381405458,0.0383365318724469,0.0747594043522247,0.0186501464610749
B15,0.10834237,0.124249308,0.0951503945215463,0.0387032808428898,0.0412800759888018,0.1623877469837278,0.3631218409377932,0.0740878945597144,0.1789938459631317,0.0462749202023948
B16,0.100592352,0.115361424,0.1911251502076117,0.0504874850478779,0.0214421066764405,0.1543421302788256,0.4331039789945807,0.0491590697750202,0.0754553959351654,0.0248846830844777
B17,0.161067351,0.184715424,0.1590811039097023,0.2416212388135653,0.1791566161123123,0.1100217331358995,0.1670530699554995,0.0504511240233683,0.071336349467188,0.0212787645824644
B18,0.094166413,0.107992023,0.2558124864578304,0.1031567998035954,0.0053899982813519,0.0048133948945781,0.1957613236580913,0.0568245217638538,0.3408018158593385,0.0374396592813603
B19,0.033513893,0.038434437,0.2353473466179287,0.0444999588370521,0.0089538632454161,0.091099161409578,0.296159656078562,0.0918537298447558,0.1953082718853121,0.036778012081395
B2,0.12773665,0.146491076,0.0546107770793071,0.0674147673688124,0.0006735956597275,0.000675376349923,0.4081895992452508,0.0514007789661281,0.4085181658758466,0.0085169394550041
B20,0.042826451,0.049114275,0.2523395262144435,0.2165495467712307,0.1639641295061432,0.1255812262337593,0.1429846745152889,0.0438343102444993,0.023882715415489,0.0308638710991457
B21,0.050295624,0.057680079,0.426125020370643,0.2906421850271363,0.0678352590765454,0.0221593767672149,0.0964742691291582,0.0682407893234604,0.012533460774054,0.0159896395317877
B23,0.125224544,0.143610139,0.1715834430752983,0.2961217805000233,0.1183432852404286,0.0870952523827189,0.1379362424217342,0.1078806564635068,0.0656645128492631,0.0153748270670265
B24,0.149743808,0.171729347,0.0918640943539567,0.3513558437145723,0.1628759981221916,0.0834069516125575,0.1039650402114635,0.1183758925242262,0.073575763126765,0.0145804163342668
B25,0.161494219,0.185204966,0.2157397888108512,0.399818158139919,0.1647772778828415,0.0414644246460826,0.1070163906164611,0.0443509521570745,0.0151227732333173,0.0117102345134524
B26,0.143429092,0.164487498,0.0309620010809833,0.1056269964773672,0.4253319473646114,0.2575032330010995,0.0948623682024374,0.0411024347095571,0.0362886796155901,0.0083223395483536
B27,0.301264176,0.345496091,0.1183590278301079,0.3889001791959853,0.1765756225091723,0.0699095367049658,0.0860680958692398,0.1036047035414891,0.0382725054435984,0.018310328905441
B28,0.202314854,0.232018928,0.0098076580761573,0.3480083615021944,0.4457005943437407,0.0539003022469732,0.0505865376981219,0.0447651892011276,0.0261605003861033,0.0210708565455812
B29,0.112884754,0.129458609,0.134736409141727,0.3060610631779686,0.1229969104748845,0.131797862567133,0.1055182396412564,0.0624579495650455,0.1290928415827555,0.0073387238492293
B3,0.083367874,0.09560803,0.0686854807615203,0.0593552696305764,0.0008869992770147,0.0008891745519694,0.1265699708511842,0.0558739798460426,0.6747532590910237,0.0129858659906683
B30,0.119464176,0.137004028,0.1836341316698389,0.2980022975306744,0.102195179541111,0.1290307622237165,0.1287870788340171,0.0821026900475104,0.0364253167678001,0.0398225433853314
B31,0.160655572,0.184243188,0.0185188218431624,0.1340917440850174,0.1807561302940775,0.2535858462317442,0.1642865879840599,0.1128974654517388,0.1278821709163143,0.0079812331938851
B32,0.135815188,0.155755713,0.0106664821150073,0.0429226655150532,0.3343806003651164,0.2633521946293891,0.2703014070124429,0.0451356179299864,0.02274531678883,0.0104957156441745
B33,0.141946571,0.162787311,0.0266744231938926,0.0717176629451981,0.2699549018843429,0.3076961770239968,0.1836004971989713,0.0683510439771389,0.0668164594128996,0.0051888343635594
B34,0.117742386,0.135029444,0.0012784917484379,0.0134684081135044,0.1676466932301305,0.4900260078411696,0.1629040293183315,0.0529114594428911,0.1101867635392206,0.001578146766314
B35,0.173241757,0.198677289,0.000210409482842,0.0136150859781203,0.0004108116231369,0.0723771901464083,0.5353581230390444,0.2049019252054112,0.1651256060732084,0.008000848451828
B36,0.136006762,0.155975414,0.0029681238405974,0.0155513195202915,0.1509572118161625,0.2280603057673276,0.4738450263343838,0.0725079467575794,0.049107692674279,0.0070023732893785
B37,0.248942921,0.285492976,0.0053243641585534,0.0224230851604903,0.0258941104361897,0.129534033483503,0.6472093207067969,0.0696624559068554,0.091585190178863,0.008367439968748
B38,0.151080875,0.173262724,0.0424578887280816,0.0516764165612953,0.1292367827875043,0.2205069496101382,0.4109616759326148,0.0619430359053986,0.0656678753788158,0.017549375096151
B4,0.054350549,0.062330352,0.043735836071559,0.044686317163433,0.0114936082111924,0.0317379083051233,0.2003723699162529,0.0403724648031066,0.6092815996176948,0.0183198959116379
B40,1.165093703,1.336153953,0.0476706392199349,0.1430119176598049,0.0595882990249187,0.1789831185695735,0.3045450004994506,0.0707175952605979,0.1714298886609344,0.0240535411047847
B42,0.134968266,0.154784444,0.0142695597919013,0.070932979633623,0.6723837844756961,0.100712928755335,0.0807888379664145,0.0283705346950943,0.0253648482242572,0.0071765264576783
B43,0.256355265,0.293993607,0.0065152572545111,0.0429883499626653,0.2402781734183268,0.44347777254029,0.189203368315123,0.0239325206800781,0.051761943104411,0.0018426147245943
B44,0.195511907,0.224217165,0.0036816966176336,0.2259808564140388,0.5228123164126228,0.1236938344216775,0.0590736139000876,0.0379004978775147,0.0156162904848121,0.0112408938716125
B45,0.232416132,0.266539706,0.0249111872274699,0.0880109002572812,0.1749795825116246,0.1984389579006003,0.245219441269197,0.1147717673626365,0.1376918478801439,0.015976315591046
B46,0.664613501,0.762192735,0.1216762215053954,0.0563227075113021,0.0778170122941831,0.297639242809937,0.2256948494669561,0.1165637509962639,0.0705750244070706,0.0337111910088916
B47,0.576984401,0.661697842,0.0475153081061578,0.0794568646321015,0.1186129882017581,0.2487233794526842,0.2494609911613152,0.1660769811224708,0.0729713320553462,0.0171821552681658
B48,0.577957231,0.662813503,0.1445138830364597,0.0659122879856415,0.1512638534000817,0.2010310442924488,0.1317866903023019,0.1394992042811125,0.1363400099727257,0.0296530267292279
B49,0.519712763,0.596017522,0.2266413007808625,0.0335333963469381,0.0348628866485292,0.1790415073176925,0.2178375045201436,0.1975035309497873,0.0866731729586914,0.0239067004773551
B5,0.077484299,0.088860623,0.0605146648312908,0.0282635188340649,0.0219528352976686,0.0816441179847217,0.1616775814505364,0.056140661081213,0.5535725307673391,0.0362340897531653
B50,0.523992766,0.60092592,0.1498010457333748,0.0620059074693335,0.0319280944484035,0.1297207858441782,0.1589213881204529,0.2724070247887587,0.1797930583302351,0.0154226952652631
B6,0.035382792,0.040577729,0.1587472284297943,0.1037101016737164,0.0400097347768236,0.0425835384082807,0.4901931363535472,0.104784364125838,0.0447188925667355,0.0152530036652639
B60,0.367553877,0.421518514,0.15021579517725,0.066642052293397,0.0530946083344205,0.2073028292632449,0.1132877009589874,0.1811609008099767,0.2181558178879566,0.0101402952747663
B61,0.402107724,0.461145592,0.1454525621805283,0.0827258699142809,0.0911601411421682,0.1648429095257944,0.220040065104834,0.1296153369461083,0.1484544672855933,0.0177086479006923
B62,0.268346132,0.307744986,0.0508529934529673,0.1759166845129695,0.2255201441826688,0.1932201961733663,0.2183235733885414,0.0949122669593679,0.03827349114856,0.0029806501815585
B63,0.215501788,0.247141981,0.0533106016897798,0.0866444754245674,0.1343163479275295,0.2493391177561372,0.3314126603587001,0.0803112509543937,0.0625643830428213,0.0021011628460708
B64,0.193882846,0.222348923,0.066289949786733,0.2068479531472573,0.0927955399928778,0.1286567788675943,0.2142558561283954,0.1613975437325308,0.1223154683195561,0.007440910025055
B65,0.301904541,0.346230475,0.0440584284937754,0.1907694699634362,0.1281668954969861,0.2080502801796918,0.2344177949606526,0.130938552832672,0.0591148991454946,0.0044836789272909
B66,0.131219764,0.150485584,0.2080275502075714,0.1408495276624627,0.0247008038615937,0.0357900936169668,0.2585526837533597,0.1750760862738777,0.1447273204226297,0.012275934201538
