stationReference,stationName,latitude,longitude,easting,northing
1082,Rainfall station,52.186855,-1.418519,439850.52089154377,254449.22017024606
1086,Rainfall station,52.174506,-1.736002,418150.51014529064,252949.21145313905
1087,Rainfall station,52.067173,-1.611177,426750.5750723532,241049.17946596871
1112,Rainfall station,51.684691,-2.162673,388850.537690292,198449.4230644068
1113,Rainfall station,51.799795,-2.148586,389850.54120149586,211249.34134754149
1119,Rainfall station,52.031946,-2.435056,370250.50892411056,237149.18881916415
1121,Rainfall station,52.718322,-2.717219,351650.56822056504,313649.02270316717
1140,Rainfall station,51.875411,-2.019556,398750.52871310123,219649.29021423167
1141,Rainfall station,51.777374,-2.093434,393650.5286977551,208749.30524335388
1155,Rainfall station,52.417004,-1.12584,459550.5542510609,280249.1093272733
1165,Rainfall station,52.205609,-1.605581,427050.5498682793,256449.21540485165
1201,Rainfall station,52.343809,-1.955178,403150.52815626847,271749.10886057804
1331,Rainfall station,52.596394,-2.471631,368150.57193329756,299949.0432748289
1332,Rainfall station,52.589321,-2.78744,346750.5251799825,299349.0744783155
1335,Rainfall station,52.863499,-3.123644,324450.5217736442,330148.86832579836
1339,Rainfall station,52.718219,-2.570654,361550.52887366305,313548.99582533527
1387,Rainfall station,52.424304,-3.172736,320350.53934789065,281349.0576771239
1409,Rainfall station,52.59735,-3.029712,330350.5194072867,300448.96917775547
1412,Rainfall station,52.47914,-2.975413,333850.5721801088,287249.07598289114
1413,Rainfall station,52.325619,-2.226643,384650.5367422399,269749.09258796304
1552,Rainfall station,52.541438,-2.193841,386950.5634110126,293749.0428657172
1602,Rainfall station,52.05292,-2.737138,349550.5119622125,239649.21857598997
1603,Rainfall station,52.224678,-2.731196,350150.51632086356,258749.14714803902
1606,Rainfall station,51.952233,-2.735485,349550.5278240346,228449.26218219817
1687,Rainfall station,52.016552,-2.653481,355250.5139811777,235549.26750397554
1712,Rainfall station,52.639137,-2.325793,378050.5656137108,304649.01756541827
1713,Rainfall station,52.84224,-2.872181,341350.5704632804,327548.90689055447
1740,Rainfall station,52.392235,-1.324715,446050.53785557987,277349.1161104215
1747,Rainfall station,52.806646,-2.49764,366550.5110179171,323348.964170477
1748,Rainfall station,52.481743,-2.579368,360750.51138593885,287249.05077310477
1760,Rainfall station,52.140634,-1.974376,401850.56511127955,249149.1749688034
1761,Rainfall station,52.051393,-1.762976,416350.54769981385,239249.22998541407
1769,Rainfall station,52.199933,-2.097246,393450.5498047926,255749.1425848608
1770,Rainfall station,52.288216,-1.222206,453150.5332959841,265849.1356185697
1771,Rainfall station,52.911156,-2.637129,357250.5330995359,335048.92499655264
1773,Rainfall station,52.222319,-2.17488,388150.5718735585,258249.11307674792
1774,Rainfall station,52.338976,-2.542273,363150.5625156346,271349.1324589982
1792,Rainfall station,52.307409,-2.728158,350450.55966223415,267949.13799701154
1793,Rainfall station,52.518531,-2.881966,340250.54356856353,291549.0056511808
1794,Rainfall station,51.87509,-2.275208,381150.5627673646,219649.26552214165
1812,Rainfall station,51.89986,-2.41343,371650.5716943877,222449.28640535005
1813,Rainfall station,51.749956,-2.336734,376850.5714956355,205749.40752209348
1814,Rainfall station,52.481443,-1.558947,430050.51238564687,287149.0810156267
1817,Rainfall station,52.708345,-2.980518,333850.57185969094,312748.96016134764
1819,Rainfall station,52.178577,-2.411624,371950.54373494623,253449.2075477318
1822SO,Rainfall station,50.811276,0.219288,556450.5694472211,103649.7520975814
1930,Rainfall station,52.080849,-2.563945,361450.5712261939,242649.2724024931
2102SO,Rainfall station,51.105481,0.116212,548250.5655844092,136149.58937573488
2321SO,Rainfall station,50.83729,-0.377415,514350.56849942816,105449.77559833646
237740TP,Rainfall station,51.600133,0.258985,556550.5780513058,191449.4412195153
238605TP,Rainfall station,51.722932,0.136235,547650.5436595291,204849.31528130732
238777TP,Rainfall station,51.736595,0.223782,553650.5757213179,206549.32369988912
238944TP,Rainfall station,51.677024,0.235326,554650.5191051177,199949.33179729333
239258TP,Rainfall station,51.664377,0.040933,541250.578837622,198149.3528675828
239374TP,Rainfall station,51.575345,0.041271,541550.5389744948,188249.4002854722
239579TP,Rainfall station,51.527809,0.085279,544750.5733834124,183049.40481086166
240201TP,Rainfall station,51.884151,-0.454782,506450.5748358585,221749.25333671048
240350TP,Rainfall station,51.813497,-0.287465,518150.5529327397,214149.3032681079
240470TP,Rainfall station,51.775264,-0.196143,524550.5746463512,210049.28940685946
240662TP,Rainfall station,51.937159,-0.384591,511150.53170169675,227749.31792840653
240816TP,Rainfall station,51.873475,-0.269208,519250.5483231735,220849.25476562203
241243TP,Rainfall station,51.950719,-0.145455,527550.5643462812,229649.31415587445
241790TP,Rainfall station,51.871184,-0.064476,533350.5788920519,220949.25074137826
241961TP,Rainfall station,51.97304,-0.025147,535750.574254535,232349.23668780108
242534TP,Rainfall station,51.807828,-0.03963,535250.5724945617,213949.32731634963
242819TP,Rainfall station,51.827809,0.054118,541650.569123788,216349.32151452964
