dateTime,stationReference,parameter,qualifier,unitName,value,latitude,longitude,easting,northing
2021-10-10 23:45:00+00:00,2420_w1TH,level,Stage,mASD,0.194,51.381826,-0.966655,472010.5336154844,165259.49091578418
2021-10-10 23:45:00+00:00,243543TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.866534,0.247617,554850.5747380288,221049.2749559127
2021-10-10 23:45:00+00:00,2473TH,level,Stage,mASD,0.242,51.403467,-0.933245,474300.5777743312,167699.48109135838
2021-10-10 23:45:00+00:00,246847TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.569374,-0.257694,520850.5714596359,187049.41243828
2021-10-10 23:45:00+00:00,243679TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.805204,0.20975,552450.5363275857,214149.3715505665
2021-10-10 23:45:00+00:00,2230TH,level,Stage,mASD,0.121,51.437409,-1.576981,429500.5613090835,171019.4728486247
2021-10-10 23:45:00+00:00,2275,level,Stage,mASD,0.341,51.697286,-2.218553,384991.5409578572,199860.33761640172
2021-10-10 23:45:00+00:00,055223,rainfall,Tipping Bucket Raingauge,mm,0.0,54.364209,-1.297407,445750.5396569156,496748.3811524997
2021-10-10 23:45:00+00:00,053532,rainfall,Tipping Bucket Raingauge,mm,0.0,54.318976,-1.637925,423650.511997405,491548.3334487481
2021-10-10 23:45:00+00:00,008632,rainfall,Tipping Bucket Raingauge,mm,0.0,55.047076,-1.446712,435450.5577557354,572648.136710569
2021-10-10 23:45:00+00:00,1236TH,level,Stage,mASD,0.052,51.865237,-1.618104,426393.5679168671,218586.3523749911
2021-10-10 23:45:00+00:00,1113,rainfall,Tipping Bucket Raingauge,mm,0.0,51.799795,-2.148586,389850.5412014959,211249.34134754149
2021-10-10 23:45:00+00:00,1090_w2TH,level,Stage,mASD,0.051,51.713499,-1.420988,440100.5195708826,201799.40750278768
2021-10-10 23:45:00+00:00,0730TH,level,Stage,mASD,0.397,51.616448,-1.666745,423170.51074820384,190899.42196182377
2021-10-10 23:45:00+00:00,0657TH,level,Stage,mASD,0.043,51.761248,-1.835566,411445.5450446247,206964.3404956369
2021-10-10 23:45:00+00:00,3580,rainfall,Tipping Bucket Raingauge,mm,0.0,53.047163,-1.641206,424150.5192466431,350048.8788984215
2021-10-10 23:45:00+00:00,4084,level,Stage,mASD,0.477,52.531656,-1.958157,402935.56290596,292644.0408740891
2021-10-10 23:45:00+00:00,4080TH,level,Stage,mASD,0.231,51.431619,-0.25215,521600.56756520056,171739.5336531155
2021-10-10 23:45:00+00:00,4143,level,Stage,mASD,0.303,53.1201,-2.012802,399240.5420821461,358102.8576769232
2021-10-10 23:45:00+00:00,4103,rainfall,Tipping Bucket Raingauge,mm,0.0,53.114911,-2.223306,385150.5644878764,357548.86773766106
2021-10-10 23:45:00+00:00,266474TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.412945,-1.726028,419150.53531994665,168249.47602037634
2021-10-10 23:45:00+00:00,276036TP,rainfall,Tipping Bucket Raingauge,mm,0.0,51.54306,-0.500973,504050.5611270448,183749.4347272628
2021-10-10 23:45:00+00:00,3078TH,level,Stage,mASD,0.774,51.306994,-0.537112,502068.5665925976,157446.48352209874
