stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
4175TH,River Wandle at Morden Hall,51.402267,-0.187639,2.066,0.05,1.25,0.151,526165.5254040495,168584.45875431303
4176,Cannock,52.682553,-2.025244,2.357,0.019,2.2,0.132,398390.5657559538,309428.9594141916
4177,Coven,52.662979,-2.143695,2.483,0.166,1.33,0.229,390378.5096704837,307260.98954095395
4177TH,River Wandle at Merton Abbey,51.41336,-0.183893,2.066,0.05,1.25,0.151,526395.5133789564,169824.47722786997
4179,Knypersley,53.08361,-2.1565,1.238,0.298,1.24,0.334,389614.5342321566,354054.8608659044
4180,Leasows Farm,52.910637,-1.862124,1.741,0.011,1.8,0.066,409369.517716783,334809.86076200556
4180_w1TH,Wandle Park Main Channel,51.419659,-0.18127,1.997,0.071,0.535,0.214,526560.5289833448,170529.46580368464
4180_w2TH,Wandle Park Side Channel,51.419659,-0.18127,1.164,-0.044,1.7000000000000002,0.058,526560.5289833448,170529.46580368464
4181,Adderley (Cheadle) LVL,52.991475,-2.013285,2.066,0.05,1.25,0.151,399205.51260954654,343793.8341146759
4182,Astonfields,52.817973,-2.113758,1.5550000000000002,0.046,0.84,0.104,392430.5691168498,324498.9129211651
4182TH,Thornton Heath,51.394765,-0.097302,2.531,0.93,2.335,0.958,532470.577287053,167909.4666465356
4183,Flint Mill,53.070627,-2.041308,3.37,0.022,1.9,0.059,397329.5570168127,352599.870499478
4186,Shipley Gate,53.003454,-1.310004,3.079,0.882,2.8,0.964,446400.5366537414,345348.86183196347
4186TH,Abercairn Road,51.416099,-0.143444,2.868,0.753,2.7,0.834,529200.5565778625,170199.5395694427
4187,Oxton Dumble,53.052096,-1.067469,2.066,0.05,1.25,0.151,462605.53596395184,350943.8742510271
4188,Cheadle LVL,52.995269,-1.986021,2.066,0.05,1.25,0.151,401035.5436339652,344215.89948716277
4188TH,Graveney at Robinson Road ,51.422024,-0.174344,2.066,0.05,1.25,0.151,527035.5344268336,170804.4344960561
4189,Gunthorpe LVL,52.986363,-0.977571,2.066,0.05,1.25,0.151,468735.51483237714,343713.842155612
4189TH,Longley Road,51.421965,-0.173411,2.873,-0.437,2.75,0.054,527100.5651247039,170799.4900835774
4190,Smithy Houses,53.019889,-1.425573,1.45,0.33,0.47,0.35,438630.54273734294,347108.83311604895
4191,Wensor Bridge FLOW,53.003783,-0.829178,2.066,0.05,1.25,0.151,478665.53620750795,345803.84259082505
4192,Melton Park,52.762225,-0.889833,2.49,0.47,1.26,0.77,475010.5251031983,318868.90895722207
4192TH,Summerstown,51.428571,-0.187677,3.11,0.486,3.485,0.853,526090.5450513868,171509.4687394811
4193,Brentingby Dam GATE,52.760041,-0.853952,2.066,0.05,1.25,0.151,477435.5349227188,318663.92022329
4195,Whetstone,52.553447,-1.171951,1.447,0.071,1.1,0.088,456240.56817589514,295389.0758491785
4196,Shepshed,52.78322,-1.279553,2.186,0.475,1.6,0.529,448689.56868831394,320869.9679903023
4197,Buxton,53.2536,-1.904027,1.795,0.092,1.16,0.16,406500.5529018415,372958.73509341705
4198,Woolsthorpe,52.899642,-0.758767,2.168,0.46,0.8200000000000001,0.51,483590.56847396644,334298.93260865397
4200,Walsall,52.568845,-1.992912,2.48,0.003,1.34,0.108,400577.5209998204,296780.0269304103
4202,Marefield,52.675277,-0.888192,2.066,0.05,1.25,0.151,475270.5647556281,309199.02753916814
4203,Bulwell,53.009557,-1.190048,1.577,0.147,1.1,0.238,454442.5710423911,346111.90070147754
4204,Whitwick,52.739499,-1.353725,2.808,0.1,1.25,0.131,443730.5672183669,315959.0032864848
4205,Loughborough,52.765357,-1.214327,1.103,0.011,0.5,0.026,453110.5213166939,318928.9558754366
4206,Selly Park,52.435233,-1.913503,1.817,0.0,1.1,0.0,405977.5287049752,281921.08454676706
4207,Lowdham Grange,53.010442,-1.024175,1.539,0.072,0.6000000000000001,0.103,465570.52939180634,346348.8490925544
4208,Carlton,52.969773,-1.07353,2.066,0.05,1.25,0.151,462317.5273965998,341780.89402617124
4249,Stafford,52.790235,-2.119721,0.894,0.051,0.6000000000000001,0.061,392023.5501428001,321413.9558083206
4252,Lisle Street LVL,52.777609,-1.21547,2.066,0.05,1.25,0.151,453018.5439091093,320291.00221383496
4259,Agnes Meadow,53.023273,-1.680181,1.657,0.052,0.9,0.083,421549.522258878,347378.8745458817
43108,Tisbury,51.061485,-2.080366,2.9210000000000003,0.505,1.2,0.53,394464.53625807585,129130.60740338721
4310TH,Hayes Lane,51.392901,0.019484,1.045,-0.735,1.8,0.0,540600.56864819,167919.54965319153
4314TH,Magpie Hall Lane,51.385199,0.047688,1.892,0.917,1.6,0.924,542586.5803897391,167117.53127682785
4317TH,Bishops Avenue,51.401378,0.028483,2.237,0.317,2.0,0.427,541200.521301516,168879.47220123044
4319TH,Bromley South,51.400276,0.019377,0.92,0.029,1.85,0.052,540570.5305939814,168739.44007132814
43208,Lodden Bridge,51.034216,-2.265615,3.463,0.005,1.82,0.089,381471.56531954696,126128.61865875905
4320TH,Bromley,51.394835,0.016838,0.885,0.0,0.35,0.034,540410.5747667452,168129.54111803055
43210,Blandford,50.853069,-2.167089,2.782,0.293,1.1,0.388,388334.5103511149,105963.70227871482
4326TH,Beckenham Park,51.422952,-0.007672,1.48,0.168,1.979,0.471,538620.5356126114,171209.5219784107
4335TH,Upper Elmers End,51.391876,-0.03662,1.6720000000000002,-0.089,1.27,0.02,536700.5736097791,167699.53228034926
4345TH,Beckenham,51.406058,-0.024366,1.537,0.321,0.95,0.418,537510.574431078,169299.4770917466
4369TH,Winsford Road,51.435695,-0.027404,0.886,0.036,1.35,0.071,537210.5643431947,172589.4349292287
4370TH,Catford Hill,51.441442,-0.026869,1.204,0.046,2.1,0.071,537230.535208232,173229.50723736073
4372TH,Kydbrook Close,51.382923,0.075811,1.795,0.407,1.2,0.468,544550.5203351369,166919.4781930925
4378TH,Eynsford Close,51.383249,0.072664,1.761,-0.031,1.2,0.046,544330.5194525754,166949.5330083459
4380TH,Hazelmere Road,51.39528,0.078815,2.609,-0.023,1.2,0.141,544720.5776265911,168299.47932266878
4381TH,Gosshill Road,51.403702,0.060218,2.296,-0.06,1.45,0.033,543400.5756755585,169199.46871480966
4382TH,Woodlands Road,51.405031,0.056251,2.451,0.789,2.4,1.039,543120.5202146609,169339.50342610443
4383TH,Lower Camden,51.411956,0.051097,1.592,0.663,2.21,0.833,542740.5114863444,170099.51239396594
4384TH,Oakbrook Close FD,51.428299,0.023993,2.066,0.05,1.25,0.151,540805.5338595717,171864.44329850277
4386TH,Chinbrook Park,51.431438,0.027081,0.754,0.009,0.96,0.035,541010.5351581576,172219.4342779843
4387TH,Eltham Palace Road FD,51.45198,0.032669,2.066,0.05,1.25,0.151,541335.564674932,174514.46560044275
4389TH,Manor House Gardens,51.45563,0.00613,1.078,0.013,1.0,0.028,539480.5675515041,174869.50746769112
4391TH,Mottingham Lane FD,51.442857,0.029817,2.066,0.05,1.25,0.151,541165.527684534,173494.49169156162
44107,Netherbury,50.789421,-2.750022,3.136,0.0,1.73,0.276,347228.5315647317,99140.7799201542
44113,Upwey Culvert,50.665978,-2.480781,1.025,0.0,0.26,0.0,366117.5645768709,85255.77477049772
44115,Charmouth,50.739791,-2.891657,3.759,0.003,1.13,0.047,337178.506514332,93732.7953494181
4427,Sandiacre,52.921584,-1.283492,2.24,0.01,1.3,0.13,448270.52458468766,336258.9166554721
4435,Lenton,52.948176,-1.183337,1.616,0.016,1.0,0.08,454970.53498263075,339288.8865350151
45213,East Budleigh Brookfield Road,50.652217,-3.320001,1.461,0.37,1.45,0.496,306780.5602580637,84446.79966139309
45215,Honiton,50.796646,-3.183491,2.256,0.042,0.75,0.062,316687.5663102936,100343.78634385728
4535,Uttoxeter Park,52.897211,-1.882427,1.482,0.249,0.6900000000000001,0.257,408006.5638523274,333313.8869037095
4610,Trowell,52.944125,-1.27239,1.303,0.302,1.0,0.305,448991.5384991929,338773.9100439829
46109,Dakyn Road LVL,52.637658,-1.059015,2.066,0.05,1.25,0.151,463775.5193357613,304849.9877313532
46115,Ashburton Lower,50.5162,-3.757538,1.543,0.018,0.95,0.117,275492.5395460182,69965.8314887839
46116,Ashburton Upper,50.521452,-3.756985,1.133,0.0,0.8300000000000001,0.023,275545.57078957325,70548.86157958832
46120,Palmers Dam,50.390648,-3.72194,5.276,0.51,1.25,0.654,277692.5208706847,55946.90197155116
4615TH,"Luton, Toddington Road",51.908463,-0.46427,2.066,0.05,1.25,0.151,505740.5431676248,224439.29042308358
4625TH,"Luton, Stockingstone Road",51.896722,-0.419615,1.285,-0.043,2.5,0.013,508840.5485123201,223199.26791207743
4641TH,Luton East Hyde,51.851486,-0.376103,1.978,1.055,1.6,1.072,511946.52748146746,218234.31041155278
4650TH,Harpenden,51.830547,-0.347917,1.633,-0.083,1.3,0.6980000000000001,513940.58083091746,215949.28614075235
46839,Newtown Linford,52.683384,-1.230147,2.482,0.934,1.4,0.95,452140.54776437476,309798.97667013155
4690TH,Waterhall,51.773132,-0.117522,1.155,0.045,0.6000000000000001,0.12,529980.5603905815,209949.29251710715
4703,Broadeye Bridge,52.807006,-2.123061,2.536,0.28,2.0,0.337,391801.5086259742,323279.9625996124
4710,Field Mill,53.137597,-1.198884,1.661,0.5720000000000001,1.4,0.602,453690.5494558101,360348.85286099644
4729,Scalford Dam,52.777175,-0.87826,2.066,0.05,1.25,0.151,475765.517331252,320543.9801416452
4730TH,Whitwell,51.876889,-0.28128,0.282,-0.114,0.5,0.021,518410.56834222306,221209.25066304705
4741,Pillings GATE,52.758038,-1.162817,2.066,0.05,1.25,0.151,456595.5663827084,318153.9874212664
4761,Spinney Hill Park LVL,52.635449,-1.104604,2.066,0.05,1.25,0.151,460693.5369959583,304564.98374822526
4770TH,Fulling Mill,51.837638,-0.221289,0.548,-0.457,0.66,-0.136,522646.53223671054,216943.280092692
4790TH,Panshanger,51.803418,-0.141267,1.284,0.224,1.07,0.312,528256.5124991162,213275.32671755695
4815,"Liverpool Road, Stoke-On-Trent",53.007835,-2.185525,2.357,0.0,1.0,0.03,387648.5224527395,345629.8607743095
4815TH,Walkern,51.919973,-0.123165,1.494,-0.083,1.225,-0.07,529170.5175109302,226269.31745791683
4821,Ogston Comp LVL,53.134236,-1.430342,2.066,0.05,1.25,0.151,438209.5714506136,359826.8122561904
4827TH,Bragbury Park,51.874477,-0.149495,1.009,0.033,0.8,0.053,527488.5181867054,221163.3215001892
4832TH,Watton at Stone,51.861312,-0.11775,1.554,0.208,1.3,0.28,529711.5501785331,219755.2566427696
4843,Hanford Bridge,52.981564,-2.19971,2.325,0.248,1.91,0.335,386688.56186607433,342709.9088219871
4863,Cresswell,52.948907,-2.036414,1.86,0.113,0.92,0.357,397650.54519868596,339058.92238670064
4868TH,Dane End,51.875292,-0.062702,1.772,0.547,1.4,0.6920000000000001,533460.5471007257,221409.343357026
4878,Brookvale Road,52.515925,-1.880351,3.652,0.222,2.0,0.324,408216.526666741,290900.0717545612
4883,Belper LVL,53.029381,-1.486357,2.066,0.05,1.25,0.151,434545.55186098797,348133.84996924707
4890TH,"Hertford, Hartham Park",51.801234,-0.079759,1.537,0.098,0.8,0.127,532503.5238341272,213142.3768956698
4895,Wallgrange,53.079153,-2.052945,2.279,0.037,1.88,0.068,396550.5497588116,353548.87322711735
4896,Swans Barn,52.507787,-1.704544,2.83,0.718,1.9,0.75,420150.56455204444,290029.08790890954
4898,Hatton,52.861553,-1.678994,3.773,0.289,2.48,0.387,421709.5113811515,329388.932760541
4912TH,Buntingford,51.946826,-0.016987,1.584,0.053,1.92,0.061,536390.5204026129,229449.24607909966
4939TH,Braughing,51.904243,0.020897,1.654,0.027,1.1,0.062,539125.5785695686,224785.3192685228
4980TH,Wadesmill,51.839044,-0.027533,1.986,0.053,2.0,0.128,535990.5283317204,217443.27339858952
50126,Coney Gut,51.073179,-4.041276,2.967,0.304,0.8150000000000001,0.474,257088.56354718024,132410.6637426988
50137,Portmarsh Lane,51.074943,-4.050919,2.95,0.0,0.5,0.064,256418.51870723392,132625.58603167025
50139,Swimbridge,51.053143,-3.969407,1.178,0.0,0.59,0.049,262063.549331512,130045.61565690915
5016TH,Furneux Pelham,51.930418,0.086394,1.6920000000000002,0.104,1.43,0.13,543547.5567954158,227823.2870341597
5039TH,Little Hadham,51.884165,0.09127,1.973,-0.171,0.8200000000000001,-0.097,544030.5728405315,222689.26625382024
5080TH,Mardock,51.814817,0.020302,1.61,0.059,0.8,0.095,539360.5219508045,214839.3758615672
51111,Williton,51.159618,-3.320133,1.618,0.0,0.5,0.024,307780.5553495896,140869.55962805368
5112TH,Clavering,51.965459,0.146003,2.333,-0.27,1.3,0.027,547530.5717723347,231839.26931444134
5129TH,"Stansted Mountfitchet, Gypsy Lane",51.89464,0.186331,0.874,-0.19,0.7000000000000001,0.058,550537.5171468349,224046.3323302205
5141TH,"Bishops Stortford, Grange Paddocks",51.878177,0.160906,1.8,-0.002,1.15,0.059,548842.5744660548,222163.32380311168
5151TH,Sawbridgeworth,51.812151,0.158674,1.979,0.806,1.633,0.939,548906.5549852704,214816.37446775794
5169TH,Sheering Hall,51.792981,0.16688,1.711,0.002,1.47,0.076,549535.5600242568,212701.38654957095
5171TH,Harlow Mill,51.795404,0.134177,2.948,0.784,2.015,-0.014,547272.5562276518,212904.30062234786
5172TH,Pishiobury Brook,51.795404,0.134177,2.87,0.84,2.078,0.016,547272.5562276518,212904.30062234786
5189TH,"Harlow, Elizabeth Way",51.773908,0.073644,2.145,0.036,1.9,0.053,543166.5460315477,210393.35892656658
5190TH,"Roydon, Glen Faba",51.764828,0.015113,1.859,0.611,1.81,1.337,539156.5352077202,209270.39491588963
52118,Currymoor Pumping Station,51.054966,-2.936065,5.099,1.33,4.297,1.713,334489.5109739402,128819.61337945067
52119,Gaw Bridge,50.976043,-2.793549,3.843,0.16,2.8,0.231,344383.51066461916,119925.6709199429
52120,Huish Episcopi Pumping Station,51.031669,-2.798991,4.92,0.8,3.476,1.437,344068.5156244027,126115.6797700229
52121,Sherborne Lake,50.947873,-2.503101,0.388,0.0,0.2,0.02,364753.57020403526,116613.67823846247
52126,Westover Pumping Station,51.034896,-2.833902,3.834,0.18,2.26,0.5640000000000001,341624.5352231447,126501.6714198948
52127,Currymoor Pumping Station,51.054966,-2.936065,5.183,0.0,3.2,0.62,334489.5109739402,128819.61337945067
52152,Huish Episcopi Pumping Station,51.031606,-2.799018,3.876,0.809,2.057,0.94,344066.54632643465,126108.6943661004
52153,Midelney,51.008129,-2.832096,3.93,0.312,3.019,0.917,341717.5491140996,123523.61480465131
52154,Midelney,51.008129,-2.832096,4.038,0.422,1.463,0.67,341717.5491140996,123523.61480465131
52208,Bruton Dam,51.116056,-2.430837,10.7,0.006,3.714,0.239,369939.5143365517,135284.65537382133
52211,Bruton Surgery,51.112337,-2.451073,2.692,0.2,0.673,0.19,368520.5389486944,134879.5617885363
5263TH,Tumbling Bay Weir,51.809124,-0.023037,31.111,30.131,30.733,30.29,536390.5280284989,214124.34909579754
5280TH,"Hoddesdon, Rye Bridge",51.770008,0.006126,3.222,2.713,3.4,2.81,538520.5683602118,209829.3433836567
5290TH,RIVER LEE AT FEILDES WEIR (GAUGED),51.76417,0.01362,2.066,0.05,1.25,0.151,539055.536035682,209194.37591176794
5291TH,Feildes Weir,51.76432,0.014322,2.066,0.05,1.25,0.151,539103.5152396171,209212.39452959388
5302TH,RYE MEADS EFFLUENT AT RYE MEADS,51.769116,0.016232,2.066,0.05,1.25,0.151,539220.5636405713,209749.37889399784
5303TH,Richard White Radial Gates,51.753614,0.01247,2.066,0.05,1.25,0.151,539008.5756925254,208018.2995478372
5308TH,"Cheshunt, Rosedale Way",51.713361,-0.060582,1.57,0.734,2.4,0.767,534085.5741153624,203405.3193418224
531115,Eastville,51.470324,-2.566101,8.494,0.005,8.7,7.482,360775.51009709854,174747.47451568404
531160,"Keynsham, Rivermead",51.419019,-2.487954,2.066,0.05,1.25,0.151,366165.5160784556,169002.52781392093
531187,Hancocks Water Reservoir,51.535097,-1.885111,2.066,0.05,1.25,0.151,408065.55141885264,181805.4329376268
53126,Saltford,51.399488,-2.447727,2.306,0.41,1.409,0.455,368949.5146406173,166812.5392725549
53133,Netham Weir,51.451028,-2.55481,3.22,0.0,2.91,0.151,361543.51083087287,172595.47160187975
5313TH,Lower Nazeing,51.735268,0.019953,2.709,-0.39,2.0,0.099,539581.5399142304,205992.4062209012
53147,Tubbs Bottom,51.543699,-2.464859,5.89,-1.61,0.591,0.141,367859.5513208569,182858.42255660324
53184,Ashton Vale,51.439017,-2.62578,3.603,0.8300000000000001,1.16,0.914,356600.5100153109,171299.43408749765
5318TH,"Cheshunt, Windmill Lane",51.703222,-0.022505,1.971,0.345,2.1,0.366,536746.5158484202,202348.39956212736
5321TH,David Stoker Radial Gates,51.697274,-0.013228,2.066,0.05,1.25,0.151,537405.5246139588,201704.3603472335
5322TH,"Cheshunt, Trinity Lane",51.691657,-0.027263,1.16,0.366,1.1,0.381,536452.5147058518,201053.41539361863
5327TH,Waltham Abbey,51.691132,0.015788,1.484,-0.006,2.714,0.033,539429.5358021832,201076.3193992417
5329TH,"Waltham Abbey, Sewardstone Road",51.681471,0.004958,2.52,-0.095,1.21,0.066,538710.5345619996,199981.35915130033
5339TH,"Enfield, Ordance Road",51.671889,-0.019618,1.198,0.024,1.4,0.108,537040.518901234,198869.42613683193
5349TH,"Enfield, Albany Park",51.668821,-0.035081,1.394,0.021,1.1,0.05,535980.527181386,198499.36535989406
5355TH,"Enfield, The Chine",51.643461,-0.095003,2.418,0.922,2.2,0.958,531910.5410696778,195569.39933897724
5357TH,Edmonton Green,51.626104,-0.060318,1.19,0.052,0.8,0.071,534361.5633073342,193702.37291268262
5362TH,New Barnet,51.650298,-0.164059,0.984,-0.002,1.1,0.041,527113.5725797465,196207.37981812845
5364TH,Arnos Park,51.616543,-0.126609,3.052,2.496,3.0,2.511,529800.5370083781,192519.4168246934
5369TH,"Edmonton, Silver Street",51.615727,-0.065253,1.452,0.0,1.7000000000000002,0.042,534050.5463201543,192539.34833334136
5376TH,Chingford,51.619051,0.008836,1.477,0.142,1.2,0.151,539169.5278479692,193047.38735011584
5378TH,Walthamstow,51.603395,-0.012274,4.759,0.598,2.604,0.995,537755.5600039721,191266.42297589843
5380TH,"Walthamstow, Low Hall",51.574894,-0.043637,2.199,-0.192,1.35,0.014,535668.5459515826,188038.40985015695
5390TH,Lea Bridge,51.567832,-0.051025,6.484,5.065,6.1,5.7780000000000005,535177.549857194,187239.4200128336
5420TH,High Ongar,51.713888,0.259177,2.184,0.01,1.45,0.047,556172.5272338532,204099.37967878056
5425TH,Moreton,51.739256,0.219552,4.059,-0.361,2.0,0.055,553349.5210532277,206836.33662766492
5427TH,Chipping Ongar,51.709101,0.239586,2.415,-0.006,1.3,0.083,554835.5767845112,203525.3420491569
5442TH,Shonks Mill Bridge,51.661693,0.209122,2.385,0.148,2.0,0.271,552890.5254901075,198189.36861548177
5459TH,Abridge,51.65178,0.119024,2.603,0.799,2.1,0.8200000000000001,546691.5554920123,196902.36251986478
5470TH,Loughton,51.640481,0.081584,1.862,0.008,1.3,0.029,544137.5151515785,195571.40665495832
5480TH,Redbridge,51.576239,0.040575,2.3,0.07,1.44,0.123,541499.5382958788,188347.46872822064
5484TH,Loxford Sluices FD,51.52639,0.091773,2.066,0.05,1.25,0.151,545205.522733755,182904.470135813
5496TH,Horseshoe Corner Tidal Sluice FD,51.519084,0.132433,2.066,0.05,1.25,0.151,548049.544919073,182173.46623803728
5518TH,Collier Row,51.597866,0.154258,1.346,0.258,1.502,0.266,549305.5730409658,190978.37361835726
5522TH,Romford,51.583879,0.172001,1.152,0.277,0.7000000000000001,0.293,550580.5785856846,189459.38489827706
5541TH,Hornchurch_Bretons Farm,51.546517,0.183966,1.163,0.029,3.09,0.084,551533.5582733628,185329.44339454995
5544TH,Beam Auto Sluice FD,51.528524,0.165429,2.066,0.05,1.25,0.151,550307.5668212711,183290.41757282
5546TH,Harold Park,51.599864,0.249585,2.757,-0.368,2.2,-0.235,555900.5454502305,191399.449157333
5550TH,Gaynes Park,51.553141,0.236647,1.751,0.046,1.15,0.095,555163.533607652,186176.40556015345
5563TH,Havering Tidal Sluice FD,51.510944,0.165849,2.066,0.05,1.25,0.151,550394.566353262,181336.39955786965
6303,High Bridge LVL,52.423104,-1.431916,2.066,0.05,1.25,0.151,438728.55491763185,280720.06931930507
720535,Catterall,53.866048,-2.811986,9.969,4.603,8.8,6.0,346700.5558251323,441398.4973314206
720763,Fleetwood,53.926518,-3.00474,6.26,0.05,1.25,0.151,334120.55507399596,448288.5448856641
E10018,PALLINGHAM GS,50.996436,-0.510104,2.066,0.05,1.25,0.151,504650.5104598497,122949.68466149372
E1013,Brigsley,53.496174,-0.11262,1.245,0.0,0.61,0.066,525300.5213238109,401598.71233815094
E10170,Cowbridge,53.007414,-0.020733,1.903,0.0,1.62,0.309,532900.5390302582,347398.8107558763
E10368,Princes Marsh,51.037463,-0.89988,1.955,0.44,0.9,0.08,477230.55761031044,127031.61794989306
E10380,Lodsbridge,50.983264,-0.669759,4.594,0.0,1.842,0.466,493473.52258474485,121270.68466409405
E10389,Iping Mill,50.999232,-0.786847,3.107,0.173,1.1,0.28,485225.5136661677,122904.62887973616
E10440,Halfway Bridge,50.992202,-0.674476,2.9290000000000003,-0.065,1.5,0.024,493124.5561879303,122258.6342857649
E10824,Westbourne,50.861097,-0.928616,1.037,0.0,0.8,0.058,475500.56533986906,107389.66902083463
E10893,Graylingwell,50.851113,-0.764553,0.922,0.0,0.613,0.001,487065.56892778364,106459.72373507688
E11090,Bosham Moreton Road,50.831317,-0.857887,5.001,3.99,4.75,4.02,480529.53556680784,104152.71248764974
E1110,Edenbridge,51.194078,0.065165,4.235,0.0,2.63,0.251,544400.5224510579,145899.57948281258
E11301,North Fareham weir,50.863667,-1.166426,2.215,0.012,1.39,0.076,458760.513719885,107459.6990338958
E11321,Crosslands Drive,50.860206,-0.976619,1.43,0.01,1.43,0.03,472123.5543554265,107242.6959170939
E11350,Browndown,50.791953,-1.170468,1.72,0.124,1.6,0.13,458565.54140680004,99481.80066303421
E1140,Penshurst,51.172608,0.173074,2.978,0.002,2.07,0.085,552010.5129841734,143729.62616525037
E1141,PENSHURST GS,51.172777,0.173655,2.066,0.05,1.25,0.151,552050.5694591759,143749.6183710216
E1147,Goulceby,53.296901,-0.131922,1.185,0.0,0.35,0.019,524600.5182981857,379398.7534799281
E1162,Lingfield Eden Brook,51.171954,-0.007351,2.904,0.0,1.494,0.069,539400.5720031487,143299.6222943866
E1163,Heighington Beck,53.212345,-0.44111,0.74,0.0,0.19,0.02,504200.51706580597,369498.7824071799
E11690,Mislingford,50.923515,-1.162981,0.88,0.05,0.65,0.08,458927.5327347473,114117.6924460418
E11723,East Meon,50.99496,-1.033579,0.718,0.102,0.648,0.104,467918.51115656545,122173.68544453106
E1187,Kirkby On Bain,53.144196,-0.140051,2.073,-1.15,1.1,0.003,524500.5231506968,362398.8382719979
E1191,Kirkstead Bridge,53.143044,-0.241774,3.07,0.0,2.9,0.163,517700.51482826116,362098.7894093077
E12020,Frogmill,50.931347,-1.257371,1.631,0.01,0.92,0.03,452284.5142201175,114917.66436768457
E1203,Langrick Bridge,53.009861,-0.11602,3.357,0.0,1.439,0.517,526500.5493708865,347498.8050862292
E12401,Stoneham Lane,50.953881,-1.370394,1.006,0.017,0.75,0.059,444320.54754178436,117349.72911599837
E12412,Riverside Park,50.935796,-1.368504,2.194,0.73,2.05,1.4,444470.50791220093,115339.72816449976
E12430,Allbrook weir,50.987637,-1.34415,0.659,0.065,0.529,0.164,446130.5665492629,121119.61812746478
E12442,Highbridge weir,50.990287,-1.335564,0.993,0.0,0.75,0.259,446730.55775112036,121419.70531089681
E12450,City Mill,51.061255,-1.307865,1.275,-0.302,0.78,0.389,448600.5283630571,129329.63876829602
E12470,Wharf Mill,51.0582,-1.308338,1.148,0.002,0.81,0.319,448570.5702319918,128989.59169714442
E12483,Bishopstoke,50.969991,-1.33715,1.728,0.0,1.7000000000000002,0.45,446639.52297512995,119161.68459427274
E12520,Chandler's Ford,50.983422,-1.382474,1.118,0.0,1.04,0.028,443444.5514077458,120627.6702450425
E1253,Tallington,52.656869,-0.382584,1.76,0.0,1.367,0.137,509500.51610404334,307798.9857515567
E12551,Borough Bridge weir,51.087739,-1.189248,0.716,0.083,0.5,0.126,456880.5524711002,132359.5932358521
E12781,Sewards Bridge,51.086429,-1.181847,0.765,0.087,0.6000000000000001,0.125,457400.5200280378,132219.64472969985
E12791,Drove Lane 1.5,51.089282,-1.180897,0.71,0.13,0.65,0.2,457463.52938750776,132537.65593321784
E12801,Drove Lane,51.090021,-1.181212,0.732,0.13,0.55,0.173,457440.5546289491,132619.59214513534
E12810,West Meon,51.01114,-1.07498,0.927,0.001,0.512,0.05,464990.5301138467,123935.70862967466
E1299,North Witham,52.784469,-0.626388,1.81,0.0,0.84,0.079,492739.5685753448,321649.8914102733
E1310,Weldon Flood Storage Reservoir,52.493886,-0.649292,2.066,0.05,1.25,0.151,491800.5178379885,289299.06269585993
E13271,Romsey Botley Road,50.989153,-1.48518,1.319,0.01,0.76,0.065,436230.5589489472,121209.66338030601
E13281,Millbrook,50.919652,-1.447963,0.7030000000000001,0.0,0.5,0.026,438900.5304589185,113499.68511482915
E13291,Ower,50.955026,-1.534134,3.26,0.02,2.07,0.04,432818.55896801315,117391.70815131538
E13301,Bossington,51.080218,-1.523543,0.8300000000000001,0.05,0.63,0.1,433472.5138476163,131318.63071078618
E13363,Longbridge,50.957997,-1.495975,1.77,0.81,1.55,0.9,435496.55105917336,117739.70838758943
E13404,Conagar Bridge,50.941207,-1.495758,1.07,0.38,0.882,0.015,435524.54643489263,115872.67733734596
E13480,Fishlake,50.997377,-1.496618,1.039,0.0,0.769,0.01,435421.5143785252,122118.68174799577
E13533,Stockbridge Side,51.115199,-1.495968,0.753,0.433,35.376,34.69,435377.5254689488,135221.65027887753
E1363,Bedford Road Sluice,52.229163,-0.868182,1.5670000000000002,0.0,1.041,0.935,477400.53540286986,259599.21067438094
E13810,Wherwell,51.166603,-1.441818,0.621,0.232,0.5,0.3,439124.522426142,140965.55444430586
E13823,Chilbolton Side,51.152223,-1.450813,1.007,0.591,1.0,0.4,438507.5314350926,139361.63671377496
E13840,Hurstbourne Priors,51.213634,-1.369723,0.88,0.072,0.88,0.15,444120.5355261107,146236.54388194816
E13851,Bransbury,51.177844,-1.39845,0.99,0.27,0.84,0.32,442146.5619656411,142239.55014097915
E13951,Fullerton Main,51.15131,-1.459531,0.68,0.137,0.58,0.16,437898.53026141884,139255.58943841464
E13961,Fullerton Side,51.152158,-1.460093,0.35,0.01,0.34,0.1,437858.5308011153,139349.60609900652
E140,Maidstone,51.271553,0.518493,3.577,3.688,0.75,0.234,575777.5804603028,155501.5674221028
E1406,Stamp End Sluice,53.228743,-0.528903,1.352,0.0,0.988,0.846,498300.5344758026,371198.7263063422
E14250,New Valley Road,50.727478,-1.599044,0.79,0.01,0.75,0.02,428396.55799437803,92060.81715348955
E14261,Chewton Glen,50.745533,-1.683293,1.23,0.06,1.23,0.075,422441.53989455645,94039.75409252547
E14270,Brockenhurst,50.815958,-1.550253,2.131,0.027,1.32,0.131,431780.50900949974,101919.747600955
E1435,Barton on Humber,53.689056,-0.441274,0.97,0.0,1.2,0.269,503030.51500600565,422528.6302197158
E14530,Meerut Road,50.824241,-1.576864,1.014,0.0,0.37,0.028,429900.5347072912,102829.77960173586
E14670,Gurnard,50.755479,-1.333222,1.949,0.0,0.75,0.065,447130.57296229945,95309.8161427295
