stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,easting,northing
3065TH,Cranleigh,51.142186,-0.480399,3.378,1.204,2.33,1.229,506400.5669403089,139199.65490691256
3069TH,Bramley,51.206896,-0.57032,3.994,1.82,3.2,2.11,499970.5196025492,146269.53160278554
3073TH,Burpham,51.264494,-0.544883,2.089,0.768,1.059,0.841,501620.5654123393,152709.51627360092
3074TH,Albury,51.210841,-0.504627,0.339,0.03,0.293,0.054,504550.5301010036,146799.5276579417
3075TH,Send,51.287835,-0.505999,1.761,0.791,2.724,0.805,504280.5786332764,155359.594211571
3078TH,Hoe Stream at Woking,51.306994,-0.537112,2.066,0.05,1.25,0.151,502068.56659259764,157446.48352209874
3079TH,Shalford,51.220824,-0.569459,1.158,0.063,0.526,0.088,500000.52019446564,147819.5469606548
3080TH,Guildford,51.236036,-0.578011,3.884,0.804,2.6,1.1,499370.5720207911,149499.59356717888
3085TH,Old Woking,51.302063,-0.543308,3.94,1.0,3.2,1.0,501647.5701225933,156889.54288707196
3087TH,Woking South,51.294424,-0.57291,2.22,0.22,1.5,0.298,499600.51994217496,155999.5153328277
3089TH,Brooklands,51.346115,-0.465049,4.038,0.082,2.24,0.238,507000.53344843205,161899.4860347961
3090TH,Weybridge,51.37248,-0.466322,1.934,0.792,1.4,0.96,506850.5748451752,164829.55655310923
3100TH,Walton,51.3919,-0.421389,4.398,-0.026,3.6,3.0,509931.5387188782,167055.5213536504
3101SE,Easton,51.088829,-1.2729,1.455,0.0,1.1,0.511,451020.5450814527,132419.6463561762
3101TH,Sunbury  Lock,51.399708,-0.4156,0.916,-0.168,0.3,0.055,510315.53163248184,167932.49982827596
3102TH,Molesey Lock,51.406476,-0.349558,1.029,-0.126,0.295,0.05,514892.5274287618,168786.49211580335
3110TH,Staines Ash,51.440376,-0.512035,0.367,0.023,0.5,0.048,503515.5482673438,172314.48843094736
3115TH,Knowle Green,51.430935,-0.496618,1.158,0.282,0.85,0.371,504608.57204675,171286.45694062745
3207TH,Ifield,51.11607,-0.222649,2.513,0.666,2.37,0.729,524500.5402088447,136699.59378229498
3209TH,Stafford Bridge,51.130927,-0.213274,2.547,0.61,2.977,0.625,525116.5758747,138367.55074239537
3210TH,Gatwick Airport,51.144764,-0.19953,2.54,0.108,2.1,0.179,526040.5434863342,139929.6397678148
3219TH,Crawley FWS,51.102235,-0.173972,2.066,0.05,1.25,0.151,527945.5701296717,135244.5868757857
3223TH,Maidenbower,51.110238,-0.153871,2.985,0.526,2.535,0.605,529330.5149680758,136169.59978069816
3225TH,Three Bridges,51.116941,-0.162605,3.259,-1.273,3.06,0.198,528700.5466970779,136899.65510952988
3229TH,Gatwick Link,51.160212,-0.163604,2.173,0.013,1.6,0.075,528510.5217312761,141709.54119940838
3230TH,Horley,51.173918,-0.18323,3.444,0.003,2.42,0.189,527100.5770489159,143199.54355838217
3232TH,Peeks Brook Lane,51.161389,-0.135668,2.901,0.0,2.65,0.748,530460.5441257451,141889.56598606007
