easting,northing,predicted_risk,predicted_authority
496907,13216,1,Isle of Wight
501907,13216,1,Isle of Wight
506907,13216,1,Isle of Wight
511907,13216,1,Chichester
516907,13216,1,Chichester
521907,13216,1,Chichester
526907,13216,4,Wealden
531907,13216,4,Wealden
536907,13216,4,Wealden
541907,13216,3,Eastbourne
546907,13216,1,Eastbourne
551907,13216,2,Eastbourne
556907,13216,2,Eastbourne
561907,13216,2,Eastbourne
566907,13216,2,Eastbourne
571907,13216,2,Eastbourne
576907,13216,2,Eastbourne
581907,13216,2,Eastbourne
586907,13216,2,Eastbourne
591907,13216,2,Eastbourne
596907,13216,2,Eastbourne
601907,13216,2,Eastbourne
606907,13216,2,Eastbourne
611907,13216,2,Eastbourne
616907,13216,2,Eastbourne
621907,13216,1,Eastbourne
626907,13216,1,Folkestone and Hythe
631907,13216,2,Folkestone and Hythe
636907,13216,2,Folkestone and Hythe
641907,13216,2,Folkestone and Hythe
86907,18216,1,Isles of Scilly
91907,18216,1,Isles of Scilly
96907,18216,1,Isles of Scilly
101907,18216,1,Isles of Scilly
106907,18216,1,Isles of Scilly
111907,18216,1,Isles of Scilly
116907,18216,1,Cornwall
121907,18216,1,Cornwall
126907,18216,1,Cornwall
131907,18216,2,Cornwall
136907,18216,2,Cornwall
141907,18216,2,Cornwall
146907,18216,2,Cornwall
151907,18216,1,Cornwall
156907,18216,2,Cornwall
161907,18216,2,Cornwall
166907,18216,3,Cornwall
171907,18216,2,Cornwall
176907,18216,2,Cornwall
181907,18216,2,Cornwall
186907,18216,2,Cornwall
191907,18216,2,Cornwall
196907,18216,2,Cornwall
201907,18216,2,Cornwall
206907,18216,3,Cornwall
211907,18216,3,Cornwall
216907,18216,3,Cornwall
221907,18216,3,Cornwall
226907,18216,4,Cornwall
231907,18216,3,Cornwall
236907,18216,4,Cornwall
241907,18216,4,Cornwall
246907,18216,4,Cornwall
251907,18216,4,Cornwall
256907,18216,2,South Hams
261907,18216,3,South Hams
266907,18216,3,South Hams
271907,18216,3,South Hams
276907,18216,3,South Hams
281907,18216,2,South Hams
286907,18216,2,South Hams
291907,18216,3,South Hams
296907,18216,3,South Hams
301907,18216,1,South Hams
306907,18216,1,South Hams
311907,18216,2,South Hams
316907,18216,3,Torbay
321907,18216,3,Torbay
326907,18216,3,Torbay
331907,18216,3,Torbay
336907,18216,2,Torbay
341907,18216,2,Torbay
346907,18216,2,Dorset
351907,18216,2,Dorset
356907,18216,2,Dorset
361907,18216,2,Dorset
366907,18216,2,Dorset
371907,18216,2,Dorset
376907,18216,2,Dorset
381907,18216,2,Dorset
386907,18216,1,Dorset
391907,18216,1,Dorset
396907,18216,1,Dorset
401907,18216,1,Dorset
406907,18216,1,Dorset
411907,18216,1,Dorset
416907,18216,1,Dorset
421907,18216,1,Dorset
426907,18216,1,Isle of Wight
431907,18216,1,Isle of Wight
436907,18216,1,Isle of Wight
441907,18216,1,Isle of Wight
446907,18216,1,Isle of Wight
451907,18216,1,Isle of Wight
456907,18216,1,Isle of Wight
461907,18216,1,Isle of Wight
466907,18216,1,Isle of Wight
471907,18216,1,Isle of Wight
476907,18216,1,Isle of Wight
481907,18216,1,Isle of Wight
486907,18216,1,Isle of Wight
491907,18216,1,Isle of Wight
496907,18216,1,Isle of Wight
501907,18216,1,Isle of Wight
506907,18216,1,Chichester
511907,18216,1,Chichester
516907,18216,1,Chichester
521907,18216,1,Chichester
526907,18216,4,Wealden
531907,18216,4,Wealden
536907,18216,4,Wealden
541907,18216,3,Eastbourne
546907,18216,1,Eastbourne
551907,18216,2,Eastbourne
556907,18216,2,Eastbourne
561907,18216,2,Eastbourne
566907,18216,2,Eastbourne
571907,18216,2,Eastbourne
576907,18216,2,Eastbourne
581907,18216,2,Eastbourne
586907,18216,2,Eastbourne
591907,18216,2,Eastbourne
596907,18216,2,Eastbourne
601907,18216,2,Eastbourne
606907,18216,2,Eastbourne
611907,18216,2,Eastbourne
616907,18216,2,Eastbourne
621907,18216,1,Rother
626907,18216,1,Folkestone and Hythe
631907,18216,2,Folkestone and Hythe
636907,18216,2,Folkestone and Hythe
641907,18216,2,Folkestone and Hythe
86907,23216,1,Isles of Scilly
91907,23216,1,Isles of Scilly
96907,23216,1,Isles of Scilly
101907,23216,1,Isles of Scilly
106907,23216,1,Isles of Scilly
111907,23216,1,Isles of Scilly
116907,23216,1,Cornwall
121907,23216,1,Cornwall
126907,23216,1,Cornwall
131907,23216,1,Cornwall
136907,23216,1,Cornwall
141907,23216,3,Cornwall
146907,23216,1,Cornwall
151907,23216,2,Cornwall
156907,23216,2,Cornwall
161907,23216,2,Cornwall
166907,23216,1,Cornwall
171907,23216,1,Cornwall
176907,23216,1,Cornwall
181907,23216,2,Cornwall
186907,23216,2,Cornwall
191907,23216,2,Cornwall
196907,23216,2,Cornwall
201907,23216,3,Cornwall
206907,23216,3,Cornwall
211907,23216,3,Cornwall
216907,23216,3,Cornwall
221907,23216,5,Cornwall
226907,23216,4,Cornwall
231907,23216,3,Cornwall
236907,23216,4,Cornwall
241907,23216,4,Cornwall
246907,23216,4,Cornwall
251907,23216,4,Cornwall
256907,23216,3,South Hams
261907,23216,3,South Hams
266907,23216,3,South Hams
271907,23216,3,South Hams
276907,23216,2,South Hams
281907,23216,2,South Hams
286907,23216,3,South Hams
291907,23216,3,South Hams
296907,23216,1,South Hams
301907,23216,1,South Hams
306907,23216,2,South Hams
311907,23216,3,South Hams
