dateTime,stationReference,parameter,qualifier,unitName,value
2021-10-10T00:00:00Z,035302,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,035305,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,035488,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,036225,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,036487,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,036704,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,037239,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,037292,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,037973,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,038476,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0390TH,level,Stage,mASD,0.867
2021-10-10T00:00:00Z,039163,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,039268,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,040492,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,040752,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,041238,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,041917,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,043533,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,046222,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0470TH,level,Stage,mASD,0.174
2021-10-10T00:00:00Z,047281,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,047439,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0490TH,level,Stage,mASD,0.159
2021-10-10T00:00:00Z,049902,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0503SO,level,Stage,mASD,0.224
2021-10-10T00:00:00Z,051250,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,051729,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,052287,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0530TH,level,Stage,mASD,0.129
2021-10-10T00:00:00Z,053532,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,054371,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,054507,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,054604,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,055002_TG_301,level,Stage,mASD,0.935
2021-10-10T00:00:00Z,055003_TG_316,level,Stage,mASD,0.576
2021-10-10T00:00:00Z,055013_TG_326,level,Stage,mASD,0.222
2021-10-10T00:00:00Z,055014_TG_306,level,Stage,mASD,0.419
2021-10-10T00:00:00Z,055018_TG_327,level,Stage,mASD,0.253
2021-10-10T00:00:00Z,055021_TG_305,level,Stage,mASD,0.851
2021-10-10T00:00:00Z,055027_TG_328,level,Stage,mASD,0.129
2021-10-10T00:00:00Z,055028_TG_9302,level,Stage,mASD,0.171
2021-10-10T00:00:00Z,055031_TG_329,level,Stage,mASD,0.072
2021-10-10T00:00:00Z,055040,level,Stage,mASD,0.156
2021-10-10T00:00:00Z,055041,level,Stage,mASD,0.348
2021-10-10T00:00:00Z,055223,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,055807_TG_320,level,Stage,mASD,0.733
2021-10-10T00:00:00Z,055811_TG_9303,level,Stage,mASD,0.934
2021-10-10T00:00:00Z,055816_TG_319,level,Stage,mASD,0.978
2021-10-10T00:00:00Z,055817_TG_323,level,Stage,mASD,0.736
2021-10-10T00:00:00Z,055L010SG,level,Stage,mASD,0.316
2021-10-10T00:00:00Z,055R0521E_TG_326,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,056505,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0569TH,level,Stage,mASD,2.121
2021-10-10T00:00:00Z,057426,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,058461,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,059793,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,060947,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,061431,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,062046,rainfall,Tipping Bucket Raingauge,mm,0.2
2021-10-10T00:00:00Z,0630TH,level,Stage,mASD,0.059
2021-10-10T00:00:00Z,063518,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0655TH,level,Stage,mASD,0.068
2021-10-10T00:00:00Z,0657TH,level,Stage,mASD,0.043
2021-10-10T00:00:00Z,0660TH,level,Stage,mASD,0.086
2021-10-10T00:00:00Z,0680TH,level,Stage,mASD,0.577
2021-10-10T00:00:00Z,068416,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,068762,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0701TH,level,Stage,mASD,0.13
2021-10-10T00:00:00Z,070365,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,0710TH,level,Stage,mASD,1.946
2021-10-10T00:00:00Z,0712TH,level,Stage,mASD,0.712
2021-10-10T00:00:00Z,0730TH,level,Stage,mASD,0.397
2021-10-10T00:00:00Z,073422,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,074108,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,074329,rainfall,Tipping Bucket Raingauge,mm,0.0
2021-10-10T00:00:00Z,074385,rainfall,Tipping Bucket Raingauge,mm,0.0
