dateTime,stationReference,parameter,qualifier,unitName,value
2023-10-20T13:30:00Z,246424TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,3207TH,level,Stage,mASD,1.052
2023-10-20T13:30:00Z,3286TH,level,Stage,mASD,1.766
2023-10-20T13:30:00Z,047439,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,3110TH,level,Stage,mASD,0.107
2023-10-20T13:30:00Z,037292,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,1817,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,1919TH,level,Downstream Stage,mASD,1.174
2023-10-20T13:30:00Z,023164,rainfall,Tipping Bucket Raingauge,mm,0.6
2023-10-20T13:30:00Z,E23527,level,Stage,mASD,0.556
2023-10-20T13:30:00Z,E2400,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E9883,level,Stage,mASD,0.589
2023-10-20T13:30:00Z,237740TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E24908,rainfall,Tipping Bucket Raingauge,mm,0.010
2023-10-20T13:30:00Z,E9941,level,Stage,mASD,-0.988
2023-10-20T13:30:00Z,287141TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,3198,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,E1530,level,Stage,mASD,1.170
2023-10-20T13:30:00Z,2854TH,level,Stage,mASD,0.155
2023-10-20T13:30:00Z,074329,rainfall,Tipping Bucket Raingauge,mm,0.4
2023-10-20T13:30:00Z,3110TH,level,Downstream Stage,mASD,0.097
2023-10-20T13:30:00Z,2810TH,level,Stage,mASD,0.594
2023-10-20T13:30:00Z,4381TH,level,Stage,mASD,0.533
2023-10-20T13:30:00Z,E1980,rainfall,Tipping Bucket Raingauge,mm,0.000
2023-10-20T13:30:00Z,2604TH,level,Stage,mASD,2.525
2023-10-20T13:30:00Z,4896,level,Stage,mASD,2.585
2023-10-20T13:30:00Z,4061,level,Stage,mASD,2.162
2023-10-20T13:30:00Z,3165,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,077836,rainfall,Tipping Bucket Raingauge,mm,0.8
2023-10-20T13:30:00Z,E73539,level,Tidal Level,mAOD,2.118
2023-10-20T13:30:00Z,1140,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4186,level,Stage,mASD,3.151
2023-10-20T13:30:00Z,4139TH,level,Stage,mASD,0.064
2023-10-20T13:30:00Z,241243TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E12580,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E2105,level,Stage,mASD,0.853
2023-10-20T13:30:00Z,1471TH,level,Stage,mASD,0.366
2023-10-20T13:30:00Z,2097,level,Stage,mASD,3.647
2023-10-20T13:30:00Z,3080TH,level,Stage,mASD,1.368
2023-10-20T13:30:00Z,E15060,level,Stage,mASD,1.089
2023-10-20T13:30:00Z,1141,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,4022,level,Stage,mASD,1.798
2023-10-20T13:30:00Z,000075TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E1550,level,Stage,mASD,1.208
2023-10-20T13:30:00Z,5496TH,level,Stage,mASD,-0.596
2023-10-20T13:30:00Z,4182,level,Stage,mASD,1.190
2023-10-20T13:30:00Z,4310TH,level,Downstream Stage,mASD,-0.127
2023-10-20T13:30:00Z,2670,level,Stage,mASD,2.728
2023-10-20T13:30:00Z,260221TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E1645,rainfall,Tipping Bucket Raingauge,mm,1.000
2023-10-20T13:30:00Z,E12791,level,Stage,mASD,0.362
2023-10-20T13:15:00Z,E73439,level,Tidal Level,mAOD,3.124
2023-10-20T13:30:00Z,0290TH,level,Stage,mASD,0.600
2023-10-20T13:30:00Z,239374TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,1099TH,level,Downstream Stage,mASD,2.397
2023-10-20T13:30:00Z,4041,level,Stage,mASD,1.937
2023-10-20T13:30:00Z,2425,level,Stage,mASD,1.186
2023-10-20T13:30:00Z,3240TH,level,Stage,mASD,1.848
2023-10-20T13:30:00Z,E7083,level,Stage,mASD,0.215
2023-10-20T13:30:00Z,2175,level,Stage,mASD,4.944
2023-10-20T13:30:00Z,3860,rainfall,Tipping Bucket Raingauge,mm,0.6
2023-10-20T13:30:00Z,53147,level,Stage,mASD,1.549
2023-10-20T13:30:00Z,3100,rainfall,Tipping Bucket Raingauge,mm,0.6
2023-10-20T13:30:00Z,E3951,level,Stage,mASD,0.288
2023-10-20T13:30:00Z,2054,level,Stage,mASD,2.680
2023-10-20T13:30:00Z,2132,level,Stage,mASD,1.450
2023-10-20T13:30:00Z,060947,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,1923TH,level,Downstream Stage,mASD,0.880
2023-10-20T13:30:00Z,5129TH,level,Stage,mASD,0.183
2023-10-20T13:30:00Z,2011,level,Stage,mASD,2.437
2023-10-20T13:30:00Z,075233,rainfall,Tipping Bucket Raingauge,mm,0.7
2023-10-20T13:30:00Z,2667,level,Stage,mASD,0.527
2023-10-20T13:30:00Z,1335,rainfall,Tipping Bucket Raingauge,mm,0.6
2023-10-20T13:30:00Z,243131TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E13291,level,Stage,mASD,0.528
2023-10-20T13:30:00Z,562992_,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,551706,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,E13951,level,Stage,mASD,0.382
2023-10-20T13:30:00Z,E73939,level,Tidal Level,mAOD,0.154
2023-10-20T13:30:00Z,E8001,level,Stage,mASD,0.758
2023-10-20T13:30:00Z,4070TH,level,Stage,mASD,0.900
2023-10-20T13:30:00Z,240350TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E8500,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,E15240,level,Stage,mASD,0.321
2023-10-20T13:30:00Z,E1835,level,Stage,mASD,3.723
2023-10-20T13:30:00Z,4386TH,level,Stage,mASD,0.123
2023-10-20T13:30:00Z,254336TP,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,005782,rainfall,Tipping Bucket Raingauge,mm,0.8
2023-10-20T13:30:00Z,4317TH,level,Stage,mASD,0.497
2023-10-20T13:30:00Z,0901TH,level,Stage,mASD,0.220
2023-10-20T13:30:00Z,E1780,level,Stage,mASD,1.776
2023-10-20T13:30:00Z,021228,rainfall,Tipping Bucket Raingauge,mm,0.2
2023-10-20T13:30:00Z,531115,level,Stage,mASD,8.104
2023-10-20T13:30:00Z,E12483,level,Stage,mASD,0.798
2023-10-20T13:30:00Z,2250TH,level,Stage,mASD,1.077
2023-10-20T13:30:00Z,2015,level,Stage,mASD,2.570
2023-10-20T13:30:00Z,055013_TG_326,level,Stage,mASD,1.544
2023-10-20T13:30:00Z,4170,level,Stage,mASD,1.616
2023-10-20T13:30:00Z,E73739,level,Tidal Level,mAOD,1.805
2023-10-20T13:30:00Z,4171TH,level,1,mASD,0.382
2023-10-20T13:30:00Z,2706,level,Stage,mASD,1.077
2023-10-20T13:30:00Z,1794,rainfall,Tipping Bucket Raingauge,mm,0.0
2023-10-20T13:30:00Z,4171TH,level,1,mASD,0.382
2023-10-20T13:30:00Z,2204TH,level,Stage,mASD,1.780
2023-10-20T13:30:00Z,E3003,level,Stage,mASD,0.360
2023-10-20T13:30:00Z,4014,level,Stage,mASD,1.596
2023-10-20T13:30:00Z,000028,rainfall,Tipping Bucket Raingauge,mm,0.6
